name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Jamison Battle,TOR,SF,23,59,10,17.7,7.1,2.7,0.6,2.1,0.9,0.3,0.2,0.5,2.5,5.9,0.429,1.8,4.4,0.405,0.3,0.3,0.889
Jarace Walker,IND,PF,21,75,5,15.8,6.1,3.1,0.3,2.7,1.5,0.7,0.3,1.0,2.3,4.8,0.472,1.0,2.5,0.405,0.6,0.9,0.667
Jared Butler,2TM,SG,24,60,17,17.4,9.0,1.8,0.4,1.4,3.7,0.7,0.2,1.3,3.4,7.6,0.448,1.0,2.8,0.355,1.3,1.5,0.824
Jared McCain,PHI,SG,20,23,8,25.7,15.3,2.4,0.6,1.9,2.6,0.7,0.0,1.6,5.5,11.9,0.46,2.2,5.8,0.383,2.1,2.4,0.875
Jared Rhoden,2TM,SG,25,14,2,16.2,8.4,3.0,1.0,2.0,1.1,0.7,0.1,0.6,3.0,6.2,0.483,0.9,2.8,0.308,1.6,1.8,0.88
Jaren Jackson Jr.,MEM,C,25,74,74,29.8,22.2,5.6,1.2,4.4,2.0,1.2,1.5,2.1,8.0,16.4,0.488,2.0,5.3,0.375,4.2,5.4,0.781
Jarred Vanderbilt,LAL,PF,25,36,2,16.1,4.1,5.1,1.9,3.2,1.1,1.0,0.3,0.8,1.6,3.4,0.488,0.3,0.9,0.281,0.6,1.0,0.556
Jarrett Allen,CLE,C,26,82,82,28.0,13.5,9.7,2.6,7.1,1.9,0.9,0.9,1.2,5.5,7.8,0.706,0.0,0.1,0.0,2.4,3.4,0.718
Javonte Green,2TM,SG,31,68,19,18.5,5.1,3.2,0.9,2.3,0.8,1.0,0.5,0.5,1.8,4.2,0.429,0.7,2.1,0.326,0.8,1.1,0.724
Jaxson Hayes,LAL,C,24,56,35,19.5,6.8,4.8,1.4,3.4,1.0,0.6,0.9,0.8,2.9,4.0,0.722,0.0,0.1,0.0,1.1,1.8,0.622
Jay Huff,MEM,C,26,64,2,11.7,6.9,2.0,0.5,1.5,0.6,0.3,0.9,0.5,2.5,4.8,0.515,1.3,3.1,0.405,0.7,0.9,0.786
Jaylen Brown,BOS,SF,28,63,63,34.3,22.2,5.8,1.3,4.5,4.5,1.2,0.3,2.6,8.2,17.7,0.463,1.8,5.7,0.324,3.9,5.1,0.764
Jaylen Clark,MIN,SG,23,40,4,13.1,4.1,1.3,0.7,0.7,0.7,0.9,0.1,0.2,1.4,3.0,0.467,0.6,1.3,0.431,0.7,0.9,0.784
Jaylen Martin,2TM,SF,21,16,0,14.9,4.9,2.8,0.7,2.1,1.1,0.6,0.0,0.8,1.9,4.6,0.419,0.4,1.4,0.304,0.6,0.6,0.9
